(base) fredcui@hahayun:~/Projects/holdse/code$ tail -f logs/full_training_hold_bottle2_itw_stage1_50to150_*.log | grep --line-buffered "Avg loss"
2025-11-13 10:37:39.524 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 125] Avg loss: 0.181956
2025-11-13 10:43:25.417 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 126] Avg loss: 0.181834
2025-11-13 10:49:12.361 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 127] Avg loss: 0.181390
2025-11-13 10:54:58.408 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 128] Avg loss: 0.181233
2025-11-13 11:00:44.634 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 129] Avg loss: 0.180195
2025-11-13 11:06:33.510 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 130] Avg loss: 0.180608
2025-11-13 11:12:20.604 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 131] Avg loss: 0.180205
2025-11-13 11:18:07.942 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 132] Avg loss: 0.180233
2025-11-13 11:23:54.834 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 133] Avg loss: 0.180278
2025-11-13 11:29:40.660 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 134] Avg loss: 0.180039
2025-11-13 11:35:26.112 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 135] Avg loss: 0.179941
2025-11-13 11:41:13.904 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 136] Avg loss: 0.178388
2025-11-13 11:47:01.240 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 137] Avg loss: 0.178573
2025-11-13 11:52:48.062 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 138] Avg loss: 0.179150
2025-11-13 11:58:36.756 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 139] Avg loss: 0.177805
2025-11-13 12:04:24.826 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 140] Avg loss: 0.177903
2025-11-13 12:10:11.931 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 141] Avg loss: 0.179035
2025-11-13 12:16:02.782 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 142] Avg loss: 0.177991
2025-11-13 12:21:52.299 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 143] Avg loss: 0.178161
2025-11-13 12:27:42.024 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 144] Avg loss: 0.178470
2025-11-13 12:33:31.659 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 145] Avg loss: 0.177481
2025-11-13 12:39:20.295 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 146] Avg loss: 0.176999
2025-11-13 12:45:09.484 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 147] Avg loss: 0.177286
2025-11-13 12:51:02.420 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 148] Avg loss: 0.176849
2025-11-13 12:56:57.611 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 149] Avg loss: 0.177312
^C
(base) fredcui@hahayun:~/Projects/holdse/code$

